t_s,VSYS_V,VDISP_V,I_discharge_A
1.004643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.006543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.008443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.010343e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.012243e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.014143e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.016043e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.017943e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.019843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.021743e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.023643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.025543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.027443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.029343e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.031243e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.033143e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.035043e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.036943e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.038843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.040743e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.042643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.044543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.046443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.048343e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.050243e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.052143e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.054043e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.055943e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.057843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.059743e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.061643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.063543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.065443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.067343e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.069243e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.071143e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.073043e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.074943e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.076843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.078743e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.080643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.082543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.084443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.086343e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.088243e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.090143e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.092043e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.093943e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.095843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.097743e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.099643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.101543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.103443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.105343e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.107243e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.109143e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.111043e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.112943e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.114843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.116743e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.118643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.120543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.122443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.124343e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.126243e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.128143e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.130043e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.131943e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.133843e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.135743e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.137643e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.139543e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.141443e+01,3.799999e+00,1.444000e-09,1.500000e-05
1.143343e+01,3.799999e+00,1.444000e-09,1.500000e-05
